ID,Group,Metric,Description,Gazetas,Semedo,Vieira,Category
52,Conectivos,if_ratio,Proporção do operador lógico SE em relação à quantidade de palavras do texto,0.00217,0.00347,0.00333,S
53,Conectivos,log_neg_conn_ratio,Proporção de Conectivos Lógicos Negativos em relação à quantidade de palavras do texto,0.00434,0.00843,0.00499,I
54,Conectivos,log_pos_conn_ratio,Proporção de Conectivos Lógicos Positivos em relação à quantidade de palavras do texto,0.01951,0.0501,0.03771,I
55,Conectivos,logic_operators,Proporção de Operadores Lógicos em relação à quantidade de palavras do texto,0.05583,0.08482,0.07765,S
56,Conectivos,negation_ratio,Proporção de palavras que denotam negação em relação à quantidade de palavras do texto,0.00867,0.0119,0.01109,S
57,Conectivos,or_ratio,Proporção do operador lógico OU em relação à quantidade de palavras do texto,0,0.01091,0.00499,S
58,Densidade de Padrões Sintáticos,gerund_verbs,Proporção de verbos no gerúndio em relação a todos os verbos do texto,0.08156,0.059,0.05536,X
59,Densidade de Padrões Sintáticos,max_noun_phrase,Máximo entre os tamanhos de sintagmas nominais do texto,56,149,92,S
60,Densidade de Padrões Sintáticos,mean_noun_phrase,Média dos tamanhos médios dos sintagmas nominais nas sentenças,7.821,16.92906,9.1715,S
61,Densidade de Padrões Sintáticos,min_noun_phrase,Mínimo entre os tamanhos de sintagmas nominais do texto,1,1,1,S
62,Diversidade Lexical,adjective_diversity_ratio,Proporção de types de adjetivos  em relação à quantidade de tokens de adjetivos no texto,0.79245,0.82688,0.82979,S
63,Diversidade Lexical,content_density,Proporção de palavras de conteúdo em relação à quantidade de palavras funcionais do texto,1.58403,1.1,1.09038,S
64,Diversidade Lexical,content_word_diversity,Proporção de types de palavras de conteúdo em relação à quantidade de tokens de palavras de conteúdo no texto,0.84425,0.87043,0.86387,S
65,Diversidade Lexical,content_word_max,Proporção máxima de palavras de conteúdo em relação à quantidade de palavras das sentenças,0.78571,0.66667,0.7,X
66,Diversidade Lexical,content_word_min,Proporção Mínima de palavras de conteúdo por quantidade de palavras nas sentenças,0.4,0.33766,0.32,X
67,Diversidade Lexical,content_word_standard_deviation,Desvio padrão das proporções entre as palavras de conteúdo e a quantidade de palavras das sentenças,0.07911,0.05989,0.07264,X
68,Diversidade Lexical,function_word_diversity,Proporção  de types de palavras funcionais em relação à quantidade de tokens de palavras funcionais no texto,0.35402,0.38042,0.40588,S
69,Diversidade Lexical,indefinite_pronouns_diversity,Proporção  de types de pronomes indefinidos em relação à quantidade de tokens de  pronomes indefinidos no texto,0.5,0.4,0.33846,S
70,Diversidade Lexical,noun_diversity,Proporção de types de substantivos em relação à quantidade de tokens de  substantivos no texto,0.78811,0.80285,0.81414,S
71,Diversidade Lexical,preposition_diversity,Proporção  de types de preposições em relação à quantidade de tokens de preposições no texto,0.21966,0.21881,0.27933,S
72,Diversidade Lexical,pronoun_diversity,Proporção de types de pronomes em relação à quantidade de tokens de  pronomes no texto,0.37522,0.42083,0.4546,S
73,Diversidade Lexical,punctuation_diversity,Proporção  de types de pontuações em relação à quantidade de tokens de pontuações no texto,0.03972,0.04623,0.05773,S
74,Diversidade Lexical,relative_pronouns_diversity_ratio,Proporção  de types de  pronomes relativos  em relação à quantidade de tokens de  pronomes relativos no texto,0.14815,0.18333,0.2069,S
75,Diversidade Lexical,ttr,Proporção de types (despreza repetições de palavras) em relação à quantidade de tokens (computa repetições de palavras) no texto,0.72414,0.7158,0.72184,S
76,Diversidade Lexical,verb_diversity,Proporção de types de verbos em relação à quantidade de tokens de verbos no texto,0.77943,0.85378,0.77494,S
77,Frequência de Palavras,cw_freq,Média das frequências absolutas das palavras de conteúdo do texto,2173900.126,259530.8996,455618.6971,I
78,Frequência de Palavras,cw_freq_bra,Média dos valores das frequências das palavras de conteúdo do texto na escala logarítmica Zipf via Corpus Brasileiro,4.546,3.96727,4.27336,I
79,Frequência de Palavras,cw_freq_brwac,Média dos valores das frequências das palavras de conteúdo do texto na escala logarítmica Zipf via BrWac,3.555,3.88209,4.05959,I
80,Frequência de Palavras,freq_bra,Média dos valores das frequências das palavras do texto na escala logarítmica Zipf via Corpus Brasileiro,5.45945,5.31797,5.43463,I
81,Frequência de Palavras,freq_brwac,Média dos valores das frequências das palavras do texto na escala logarítmica Zipf via BrWac,4.82094,5.21634,5.26734,I
82,Frequência de Palavras,min_cw_freq,Média das frequências das palavras de conteúdo mais raras das sentenças do texto,471.89583,7.04,165.78049,I
83,Frequência de Palavras,min_cw_freq_bra,Média dos valores das frequências das palavras de conteúdo mais raras das sentenças do texto na escala logarítmica Zipf via Corpus Brasileiro,1.54121,0.4252,1.39493,I
84,Frequência de Palavras,min_cw_freq_brwac,Média dos valores das frequências das palavras de conteúdo do texto na escala logarítmica Zipf via BrWac,0.72319,0.25792,1.18815,I
85,Frequência de Palavras,min_freq_bra,Média dos valores das frequências das palavras mais raras das sentenças do texto na escala logarítmica Zipf via Corpus Brasileiro,1.47523,0.4252,1.39493,I
86,Frequência de Palavras,min_freq_brwac,Média dos valores das frequências das palavras mais raras das sentenças do texto na escala logarítmica Zipf via BrWac,0.65667,0.25792,1.14185,I
87,Informações Morfossintáticas de Palavras,adjective_ratio,Proporção de Adjetivos em relação à quantidade de palavras do texto,0.02873,0.05704,0.05214,S
88,Informações Morfossintáticas de Palavras,adjectives_max,Proporção máxima de adjetivos em relação à quantidade de palavras das sentenças,0.11765,0.12903,0.21429,X
89,Informações Morfossintáticas de Palavras,adjectives_min,Proporção mínima de adjetivos em relação à quantidade de palavras das sentenças,0,0,0,X
90,Informações Morfossintáticas de Palavras,adjectives_standard_deviation,Desvio padrão das proporções entre adjetivos e a quantidade de palavras das sentenças,0.02845,0.03766,0.04649,X
91,Informações Morfossintáticas de Palavras,adverbs,Proporção de Advérbios em relação à quantidade de palavras do texto,0.03523,0.05159,0.05768,S
92,Informações Morfossintáticas de Palavras,adverbs_diversity_ratio,Proporção  de types de advérbios em relação à quantidade de tokens de  advérbios no texto,0.33846,0.352,0.466,S
93,Informações Morfossintáticas de Palavras,adverbs_max,Proporção máxima de advérbios em relação à quantidade de palavras das sentenças,0.2,0.1,0.33333,X
94,Informações Morfossintáticas de Palavras,adverbs_min,Proporção mínima de advérbios em relação à quantidade de palavras das sentenças,0,0,0,X
95,Informações Morfossintáticas de Palavras,adverbs_standard_deviation,Desvio padrão das proporções entre advérbios e a quantidade de palavras das sentenças,0.04487,0.02943,0.05952,X
96,Informações Morfossintáticas de Palavras,content_words,Proporção de palavras de conteúdo em relação à quantidade de palavras do texto,0.61301,0.52381,0.52191,S
97,Informações Morfossintáticas de Palavras,first_person_possessive_pronouns,Proporção de pronomes possessivos nas primeiras pessoas em relação à quantidade de pronomes possessivos do texto,0.03333,0.07692,0.33333,I
98,Informações Morfossintáticas de Palavras,first_person_pronouns,Proporção de pronomes pessoais nas primeiras pessoas em relação à quantidade de pronomes pessoais do texto,0,0.44444,0.16667,I
99,Informações Morfossintáticas de Palavras,function_words,Proporção de Palavras Funcionais em relação à quantidade de palavras do texto,0.38699,0.47619,0.47865,I
100,Informações Morfossintáticas de Palavras,indefinite_pronoun_ratio,Proporção de pronomes indefinidos em relação a todos os pronomes do texto,0.22619,0.19531,0.24809,S
101,Informações Morfossintáticas de Palavras,indicative_condition_ratio,Proporção de Verbos no Futuro do Pretérito do Indicativo em relação à quantidade de verbos flexionados do texto,0.0045,0.00455,0,S
102,Informações Morfossintáticas de Palavras,indicative_future_ratio,Proporção de Verbos no Futuro do Presente do Indicativo em relação à quantidade de verbos flexionados do texto,0.01802,0.03182,0.14737,S
103,Informações Morfossintáticas de Palavras,infinitive_verbs,Proporção de verbos no infinitivo em relação a todos os verbos do texto,0.08156,0.20649,0.20069,I
104,Informações Morfossintáticas de Palavras,inflected_verbs,Proporção de verbos flexionados em relação a todos os verbos do texto,0.70922,0.61357,0.609,X
105,Informações Morfossintáticas de Palavras,non-inflected_verbs,Proporção de verbos no gerúndio/particípio/infinitivo em relação a todos os verbos do texto,0.29078,0.38643,0.391,X
106,Informações Morfossintáticas de Palavras,noun_ratio,Proporção de substantivos em relação à quantidade de palavras do texto,0.40054,0.25446,0.25846,I
107,Informações Morfossintáticas de Palavras,nouns_max,Proporção máxima de substantivos em relação à quantidade de palavras das sentenças,0.76923,1,1,X
108,Informações Morfossintáticas de Palavras,nouns_min,Proporção mínima de substantivos em relação à quantidade de palavras das sentenças,0.24615,0.16667,0.14286,X
109,Informações Morfossintáticas de Palavras,nouns_standard_deviation,Desvio padrão das proporções entre substantivos e a quantidade de palavras das sentenças,0.10065,0.26256,0.1766,X
110,Informações Morfossintáticas de Palavras,oblique_pronouns_ratio,Proporção de pronomes oblíquos em relação a todos os pronomes do texto,0.08929,0.14062,0.0687,S
111,Informações Morfossintáticas de Palavras,personal_pronouns,Proporção de Pronomes Pessoais em relação à quantidade de palavras do texto,0.00286,0.00432,0.00352,S
112,Informações Morfossintáticas de Palavras,prepositions_per_clause,Proporção de preposições em relação à quantidade de orações no texto,1.00784,1.08143,1.16532,S
113,Informações Morfossintáticas de Palavras,prepositions_per_sentence,Quantidade Média de preposições por sentença no texto,4.21311,4.42667,4.25,S
114,Informações Morfossintáticas de Palavras,pronoun_ratio,Proporção de pronomes em relação à quantidade de palavras do texto,0.09106,0.12698,0.14531,S
115,Informações Morfossintáticas de Palavras,pronouns_max,Proporção máxima de pronomes em relação à quantidade de palavras das sentenças,0.25,0.21569,0.27869,X
116,Informações Morfossintáticas de Palavras,pronouns_min,Proporção mínima de pronomes em relação à quantidade de palavras das sentenças,0,0,0,X
117,Informações Morfossintáticas de Palavras,pronouns_standard_deviation,Desvio padrão das proporções entre pronomes e a quantidade de palavras das sentenças,0.0596,0.06574,0.07543,X
118,Informações Morfossintáticas de Palavras,punctuation_ratio,Proporção de sinais de pontuação em relação à quantidade de palavras do texto,0.12653,0.16247,0.15265,I
119,Informações Morfossintáticas de Palavras,ratio_function_to_content_words,Proporção de palavras funcionais em relação à quantidade de palavras de conteúdo do texto,0.6313,0.90909,0.91711,I
120,Informações Morfossintáticas de Palavras,relative_pronouns_ratio,Proporção de Pronomes Relativos em relação à quantidade de pronomes do texto,0.32143,0.23438,0.22137,S
121,Informações Morfossintáticas de Palavras,second_person_possessive_pronouns,Proporção de pronomes possessivos nas segundas pessoas em relação à quantidade de pronomes possessivos do texto,0,0,0,X
122,Informações Morfossintáticas de Palavras,second_person_pronouns,Proporção de pronomes pessoais nas segundas pessoas em relação à quantidade de pronomes pessoais do texto,0,0,0,X
123,Informações Morfossintáticas de Palavras,third_person_possessive_pronouns,Proporção de pronomes possessivos nas terceiras pessoas em relação à quantidade de pronomes possessivos do texto,0.96667,0.92308,0.66667,I
124,Informações Morfossintáticas de Palavras,third_person_pronouns,Proporção de pronomes pessoais nas terceiras pessoas em relação à quantidade de pronomes pessoais do texto,1,0.55556,0.83333,X
125,Informações Morfossintáticas de Palavras,verbs,Proporção de Verbos em relação à quantidade de palavras do texto,0.14851,0.16071,0.15363,S
126,Informações Morfossintáticas de Palavras,verbs_max,Proporção máxima de verbos em relação à quantidade de palavras das sentenças,0.27273,0.25,0.24242,X
127,Informações Morfossintáticas de Palavras,verbs_min,Proporção mínima de verbos em relação à quantidade de palavras das sentenças,0,0,0,X
128,Informações Morfossintáticas de Palavras,verbs_standard_deviation,Desvio padrão das proporções entre verbos e a quantidade de palavras das sentenças,0.05412,0.0688,0.05772,X
129,Informações Semânticas de Palavras,abstract_nouns_ratio,Proporção de substantivos abstratos em relação à quantidade de palavras do texto,0.00976,0.00893,0.02496,S
130,Informações Semânticas de Palavras,adjectives_ambiguity,Proporção de sentidos dos adjetivos do texto em relação à quantidade de adjetivos do texto,7.68627,4.00935,5.51765,S
131,Informações Semânticas de Palavras,adverbs_ambiguity,Proporção de sentidos dos advérbios do texto em relação à  quantidade de advérbios do texto,3.38596,2.5,2.53659,S
132,Informações Semânticas de Palavras,content_words_ambiguity,Média de sentidos por palavra de conteúdo do texto,4.84693,4.65714,5.00253,S
133,Informações Semânticas de Palavras,hypernyms_verbs,Quantidade Média de Hiperônimos por verbo nas sentenças,0.40083,0.64384,0.54959,S
134,Informações Semânticas de Palavras,named_entity_ratio_sentence,Média das proporções de Nomes Próprios em relação à quantidade de palavras das Sentenças,0.11061,0.01091,0.04608,S
135,Informações Semânticas de Palavras,named_entity_ratio_text,Proporção de Nomes Próprios em relação à quantidade de palavras do Texto,0.09583,0.00624,0.02616,S
136,Informações Semânticas de Palavras,negative_words,Proporção de palavras de polaridade negativa em relação a todas palavras do texto,0.16622,0.36174,0.30925,S
137,Informações Semânticas de Palavras,nouns_ambiguity,Proporção de sentidos dos substantivos do texto em relação à  quantidade de substantivos do texto,1.56452,2.59283,2.9801,X
138,Informações Semânticas de Palavras,positive_words,Proporção de palavras de polaridade positiva em relação a todas palavras do texto,0.29708,0.39962,0.48247,X
139,Informações Semânticas de Palavras,verbs_ambiguity,Proporção de sentidos dos verbos do texto em relação à quantidade de verbos do texto,12.57642,9.18978,9.35874,X
140,Léxico Temporal,aux_plus_PCP_per_sentence,Proporção de verbos auxiliares seguidos de particípio em relação à quantidade de sentenças do texto,0.29508,0.12,0.07353,S
141,Léxico Temporal,indicative_imperfect_ratio,Proporção de Verbos no Pretérito Imperfeito do Indicativo em relação à quantidade de verbos flexionados no texto,0.12613,0.11364,0.03684,I
142,Léxico Temporal,indicative_pluperfect_ratio,Proporção de Verbos no Pretérito Mais que Perfeito do Indicativo em relação à quantidade de verbos flexionados no texto,0.07207,0.05455,0.05263,S
143,Léxico Temporal,indicative_present_ratio,Proporção de Verbos no Presente do Indicativo em relação à quantidade de verbos flexionados no texto,0.36486,0.43182,0.53158,I
144,Léxico Temporal,indicative_preterite_perfect_ratio,Proporção de Verbos no Pretérito Perfeito Simples do Indicativo em relação à quantidade de verbos flexionados no texto,0.37838,0.19545,0.12632,X
145,Léxico Temporal,participle_verbs,Proporção de verbos no particípio em relação a todos os verbos do texto,0.12766,0.12094,0.13495,I
146,Léxico Temporal,subjunctive_future_ratio,Proporção de Verbos no Futuro do Subjuntivo em relação à quantidade de verbos flexionados no texto,0,0.03182,0.00526,S
147,Léxico Temporal,subjunctive_imperfect_ratio,Proporção de Verbos no Pretérito Imperfeito do Subjuntivo em relação à quantidade de verbos flexionados no texto,0.00901,0.05,0.01579,S
148,Léxico Temporal,subjunctive_present_ratio,Proporção de Verbos no Presente do Subjuntivo em relação à quantidade de verbos flexionados no texto,0.02703,0.08182,0.08421,S
149,Léxico Temporal,tmp_neg_conn_ratio,Proporção de conectivos  temporais negativos em relação à quantidade de palavras do texto,0,0.00099,0,I
150,Léxico Temporal,tmp_pos_conn_ratio,Proporção de conectivos  temporais positivosem relação à quantidade de palavras do texto,0.00813,0.01042,0.01387,I
151,Léxico Temporal,verbal_time_moods_diversity,Quantidade de diferentes tempos-modos verbais que ocorrem no texto,8,10,8,S
152,Medidas Descritivas,paragraphs,Quantidade de Parágrafos no texto,48,15,6,X
153,Medidas Descritivas,sentence_length_max,Quantidade Máxima de palavras por sentença,112,231,115,X
154,Medidas Descritivas,sentence_length_min,Quantidade Mínima de palavras por sentença,7,2,3,X
155,Medidas Descritivas,sentence_length_standard_deviation,Desvio Padrão da quantidade de palavras por sentença,25.16107,67.10522,26.67646,X
156,Medidas Descritivas,sentences,Quantidade de Sentenças no texto,48,25,41,X
157,Medidas Descritivas,sentences_per_paragraph,Quantidade média de sentenças por parágrafo no texto,1,1.66667,6.83333,X
158,Medidas Descritivas,subtitles,Proporção de Subtítulos em relação à quantidade de sentenças do texto,0,0,0,X
159,Medidas Descritivas,syllables_per_content_word,Quantidade média de sílabas por palavra de conteúdo no texto,2.43059,2.61364,2.61211,X
160,Medidas Descritivas,words,Quantidade de Palavras no texto,1845,2016,1803,X
161,Medidas Descritivas,words_per_sentence,Média de Palavras por Sentença,38.4375,80.64,43.97561,X
162,Medidas Psicolinguísticas,concretude_1_25_ratio,Proporção de palavras com valor de concretude entre 1 e 2.5  em relação a todas as palavras de conteúdo do texto,0.00133,0.00244,0.00407,S
163,Medidas Psicolinguísticas,concretude_25_4_ratio,Proporção de palavras com valor de concretude entre 2.5  e 4 em relação a todas as palavras de conteúdo do texto,0.37816,0.47066,0.56775,S
164,Medidas Psicolinguísticas,concretude_4_55_ratio,Proporção de palavras com valor de concretude entre 4 e 5.5  em relação a todas as palavras de conteúdo do texto,0.50067,0.35941,0.40108,I
165,Medidas Psicolinguísticas,concretude_55_7_ratio,Proporção de palavras com valor de concretude entre 5.5 e 7  em relação a todas as palavras de conteúdo do texto,0.11851,0.16748,0.0271,I
166,Medidas Psicolinguísticas,concretude_mean,Média dos valores de concretude das palavras de conteúdo do texto,4.41183,4.27322,3.91363,I
167,Medidas Psicolinguísticas,concretude_std,Desvio padrão do valor de concretude das palavras de conteúdo do texto,0.85349,1.05049,0.75632,X
168,Medidas Psicolinguísticas,familiaridade_1_25_ratio,Proporção de palavras com valor de familiaridade entre 1 e 2.5  em relação a todas as palavras de conteúdo do texto,0.00932,0.011,0.00813,S
169,Medidas Psicolinguísticas,familiaridade_25_4_ratio,Proporção de palavras com valor de familiaridade entre 2.5  e 4 em relação a todas as palavras de conteúdo do texto,0.24368,0.25061,0.22222,S
170,Medidas Psicolinguísticas,familiaridade_4_55_ratio,Proporção de palavras com valor de familiaridade entre 4 e 5.5  em relação a todas as palavras de conteúdo do texto,0.4727,0.49633,0.48374,I
171,Medidas Psicolinguísticas,familiaridade_55_7_ratio,Proporção de palavras com valor de familiaridade entre 5.5 e 7  em relação a todas as palavras de conteúdo do texto,0.2743,0.24205,0.28591,I
172,Medidas Psicolinguísticas,familiaridade_mean,Média dos valores de familiaridade das palavras de conteúdo do texto,4.72727,4.67912,4.81479,I
173,Medidas Psicolinguísticas,familiaridade_std,Desvio padrão dos valores de familiaridade das palavras de conteúdo do texto,0.99386,0.98911,0.91407,X
174,Medidas Psicolinguísticas,idade_aquisicao_1_25_ratio,Proporção de palavras com valor de idade de aquisição entre 1 e 2.5 em relação a todas as palavras de conteúdo do texto,0.18908,0.15037,0.14499,I
175,Medidas Psicolinguísticas,idade_aquisicao_25_4_ratio,Proporção de palavras com valor de idade de aquisição entre 2.5  e 4 em relação a todas as palavras de conteúdo do texto,0.29561,0.24939,0.29404,I
176,Medidas Psicolinguísticas,idade_aquisicao_4_55_ratio,Proporção de palavras com valor de idade de aquisição entre 4 e 5.5 em relação a todas as palavras de conteúdo do texto,0.29427,0.28362,0.26016,S
177,Medidas Psicolinguísticas,idade_aquisicao_55_7_ratio,Proporção de palavras com valor de idade de aquisição entre 5.5 e 7 em relação a todas as palavras de conteúdo do texto,0.17443,0.2176,0.23035,S
178,Medidas Psicolinguísticas,idade_aquisicao_mean,Média dos valores de idade de aquisição das palavras de conteúdo do texto,4.10433,4.52571,4.4366,S
179,Medidas Psicolinguísticas,idade_aquisicao_std,Desvio padrão dos valores de idade de aquisição das palavras de conteúdo do texto,1.6423,1.77901,1.6997,X
180,Medidas Psicolinguísticas,imageabilidade_1_25_ratio,Proporção de palavras com valor de imageabilidade entre 1 e 2.5  em relação a todas as palavras de conteúdo do texto,0,0,0.00136,S
181,Medidas Psicolinguísticas,imageabilidade_25_4_ratio,Proporção de palavras com valor de imageabilidade entre 2.5  e 4 em relação a todas as palavras de conteúdo do texto,0.16112,0.29707,0.35908,S
182,Medidas Psicolinguísticas,imageabilidade_4_55_ratio,Proporção de palavras com valor de imageabilidade entre 4 e 5.5  em relação a todas as palavras de conteúdo do texto,0.75899,0.57946,0.59485,I
183,Medidas Psicolinguísticas,imageabilidade_55_7_ratio,Proporção de palavras com valor de imageabilidade entre 5.5 e 7  em relação a todas as palavras de conteúdo do texto,0.07989,0.12347,0.04472,I
184,Medidas Psicolinguísticas,imageabilidade_mean,Média dos valores de imageabilidade das palavras de conteúdo do texto,4.56057,4.46898,4.26051,I
185,Medidas Psicolinguísticas,imageabilidade_std,Desvio padrão dos valores de imageabilidade das palavras de conteúdo do texto,0.60475,0.76628,0.68185,X
186,Simplicidade Textual,dialog_pronoun_ratio,Proporção de pronomes pessoais que indicam uma conversa com o leitor em relação à quantidade de pronomes pessoais do texto,0,0.44444,0,X
187,Simplicidade Textual,easy_conjunctions_ratio,Proporção de conjunções fáceis em relação à quantidade de palavras do texto,0.09919,0.14435,0.14309,I
188,Simplicidade Textual,hard_conjunctions_ratio,Proporção de conjunções difíceis em relação à quantidade de palavras do texto,0.0168,0.03026,0.0244,S
189,Simplicidade Textual,long_sentence_ratio,Proporção de Sentenças Muito Longas em relação a todas as sentenças do texto,0.77083,0.8,0.87805,S
190,Simplicidade Textual,medium_long_sentence_ratio,Proporção de Sentenças Longas em relação a todas as sentenças do texto,0.02083,0,0.02439,S
191,Simplicidade Textual,medium_short_sentence_ratio,Proporção de Sentenças Médias em relação a todas as sentenças do texto,0.0625,0,0,X
